Internals 	 minnodeR: 3 	 TSnode: 14 	 minnodeP: 27
Angle 8-12-46	2.1650212308969548	2.1685888196379057	2.1685452899373314
Angle 13-12-46	2.2043831906921305	2.19747046626864	2.19826168787601
Angle 1-13-12	1.0479291195071287	1.0826978363632211	1.1002210468083664
Angle 1-13-14	2.300912625373689	2.2922845951138906	2.277480948976113
Angle 1-13-15	1.2943210919565693	1.290065385708679	1.2783412845730873
Angle 12-13-15	1.882797894938478	1.8800813651798034	1.8823055845629175
Angle 14-13-15	2.108213398304622	2.111623270002612	2.108478227761562
Angle 13-14-24	2.1173448875892817	2.11802598990418	2.118785004471996
Angle 20-14-24	2.093017905195523	2.0944917516649895	2.0930955413913725
Angle 1-15-11	1.003907724737142	1.0534260154715827	1.0722959639216763
Angle 1-15-13	1.3280828144141579	1.3013024397864363	1.298276385535254
Angle 1-15-16	2.347388664990175	2.3424427971177786	2.3061072405752068
Angle 11-15-16	2.2934345693569758	2.2934572645827282	2.289593865338804
Angle 13-15-16	2.107762688436601	2.1065375566658875	2.1115152372541153
Angle 15-16-18	2.072946594790102	2.0727903470967926	2.0716889845082025
Angle 17-16-18	2.0928731836219843	2.0948433157247712	2.0952355802915053
Angle 16-17-54	2.0829470304177127	2.0812052687343674	2.0783484851931835
Angle 26-17-54	2.0872787216217144	2.091216855069696	2.094736848300729
Angle 16-18-20	2.100641965912867	2.10211593024288	2.1005154855577506
Angle 19-18-20	2.132399462323458	2.131264338301077	2.1323281186649683
Angle 18-19-51	2.0987781239251495	2.098073320202816	2.100122142604395
Angle 25-19-51	2.0584208374002553	2.060185473566276	2.05933511144444
Angle 14-20-21	2.0508616751085715	2.0503349554059627	2.049745872541794
Angle 18-20-21	2.130982132477656	2.132214823306476	2.1317691072918055
Angle 20-21-47	2.0994406857653276	2.0985190406096175	2.098334058929328
Angle 22-21-47	2.0585212599214597	2.0597392340681773	2.059030292831319
Angle 21-22-48	2.090236185849779	2.0905655109961883	2.0896878909978556
Angle 23-22-48	2.0935376834774924	2.092721868145775	2.0934244565057507
Angle 22-23-49	2.093910146773856	2.0958928998727093	2.0934980983889653
Angle 24-23-49	2.103698386029878	2.102001310993034	2.1048915443275504
Angle 14-24-50	2.079828937504691	2.0821161496927836	2.083540778902048
Angle 23-24-50	2.091196208560915	2.089659320845295	2.086803547441084
Angle 19-25-52	2.090166753058025	2.089083741921662	2.088757583378606
Angle 26-25-52	2.0932092087008116	2.0931564996822445	2.0934203253444563
Angle 17-26-53	2.104380241422404	2.1030811218341205	2.1046218116036663
Angle 25-26-53	2.0940608487927355	2.094977458536778	2.092719634358155
Angle 3-27-28	1.8803507336159782	1.8991250809667546	1.8997325875694495
Angle 3-27-29	1.9084758193628757	1.898889639878823	1.8639907757302348
Angle 3-27-30	1.9335169027565131	1.9462427370146327	1.953220786812977
Angle 28-27-29	1.929084376449466	1.9299587860756366	1.9557359413389543
Angle 28-27-30	1.9011536037334587	1.8929090582671269	1.886197165639209
Angle 29-27-30	1.9111884987438694	1.8969978058924981	1.905939775023253
Angle 27-28-62	1.9047328549308413	1.9080776434488067	1.8990149356962587
Angle 27-28-63	1.9237317968806744	1.9407704572503222	1.9549203205966015
Angle 27-28-64	1.921698914614262	1.917861127344843	1.9195718622280513
Angle 62-28-63	1.9423226098246718	1.9200886508321393	1.912063353915223
Angle 62-28-64	1.8865666837603545	1.8909084465392083	1.897241882021118
Angle 63-28-64	1.8844111949052307	1.8853957037879336	1.8802503756407754
Angle 27-29-59	1.9150112461202105	1.911017591091421	1.9092179163239424
Angle 27-29-60	1.9244516094266384	1.9213472880865003	1.9342794731145434
Angle 27-29-61	1.9218570371562125	1.9237193210715986	1.9281482357747621
Angle 59-29-60	1.8993279390219657	1.9171684505841693	1.9021102329458741
Angle 59-29-61	1.896866526544843	1.8959808649966587	1.8931176065194253
Angle 60-29-61	1.9059309539103604	1.894370265414842	1.8962949127067734
Angle 27-30-56	1.92747819294158	1.9303169194398568	1.9381059398490739
Angle 27-30-57	1.918930465530818	1.9151819955345062	1.9130416772595256
Angle 27-30-58	1.9253906561841685	1.9291429453138254	1.920709063467647
Angle 56-30-57	1.8891858396564976	1.8896749631181813	1.8876549062064032
Angle 56-30-58	1.9029388178534825	1.9079140229124807	1.9104937490255436
Angle 57-30-58	1.899267519640761	1.8907347551344478	1.8929888343652028
Angle 1-35-6	0.8308129381345184	1.31623244073468	1.9088965948742849
Out-of-Plane 1-2-3-8	-0.18755906364204225	-0.2160958480400146	-0.05679698000089715
Out-of-Plane 1-2-3-12	0.21541298428527383	0.1996701559466536	0.3472203864323484
Out-of-Plane 1-2-3-13	0.0032115466103261807	-0.0071672498630666066	0.12278017977300122
Out-of-Plane 1-2-6-4	0.030581303708523543	-0.23485784362283918	-0.3813063717063449
Out-of-Plane 1-2-8-4	0.3355297142314902	0.4578550009764939	0.3696269125528876
Out-of-Plane 1-2-11-4	0.27547099190282587	0.5265625148851074	0.46229377074724415
Out-of-Plane 1-2-12-4	0.3094449651747456	0.33284859170691417	0.23724546100265045
Out-of-Plane 1-4-15-2	-0.3220522998006382	-0.5608832091707034	-0.5364797011992994
Out-of-Plane 1-4-5-2	0.2592899672417426	0.30568891509156926	0.3141352690899747
Out-of-Plane 1-2-35-4	0.008991626110493443	-0.16081866006096504	-0.20208886387737315
Out-of-Plane 1-2-35-6	0.09719075020517765	-0.14926765043963203	-0.3060204436129294
Out-of-Plane 1-5-6-2	0.2791580967210517	0.27491127045084535	0.18773679549321418
Out-of-Plane 1-2-8-5	0.24140419364555915	0.16053617325643474	0.06000123365388728
Out-of-Plane 1-2-12-5	0.10331389155363456	0.023270418691030314	-0.0806372157320559
Out-of-Plane 1-2-13-5	0.19478368882791855	0.10752151578282337	-0.007503509089351595
Out-of-Plane 1-2-35-5	-0.27241651979953824	-0.3385290553567574	-0.548276078267716
